published,title,author,summary
2016-11-30T15:25:40Z,Sizes and Distances in High Energy Physics,V. A. Petrov,"  This is a critical discussion of physical relevance of some space-time
characteristics which are in current use in high energy physics.
"
2020-03-18T10:10:00Z,Self-Organized Criticality,Helmut Satz,"  We apply the concept of self-organized criticality in statistical physics to
the study of multihadron production in high energy collisions.
"
2024-05-14T18:00:01Z,HepLean: Digitalising high energy physics,Joseph Tooby-Smith,"  We introduce HepLean, an open-source project to digitalise definitions,
theorems, proofs, and calculations in high energy physics using the interactive
theorem prover Lean 4. HepLean has the potential to benefit the high energy
physics community in four ways: making it easier to find existing results,
allowing the creation of new results using artificial intelligence and
automated methods, allowing easy review of papers for mathematical correctness,
and providing new ways to teach high energy physics. We will discuss these in
detail. We will also demonstrate the digitalisation of three areas of high
energy physics in HepLean: Cabibbo-Kobayashi-Maskawa matrices in flavour
physics, local anomaly cancellation, and Higgs physics.
"
1998-12-03T17:39:19Z,The Standard Model,M. J. Herrero,"  These lectures provide an introduction to the basic aspects of the Standard
Model, $SU(3)_{C} \times SU(2)_{L} \times U(1)_{Y}$.
"
2019-02-21T11:06:00Z,On Future High-Energy Colliders,Gian Francesco Giudice,"  An outline of the physics reasons to pursue a future programme in high-energy
colliders is presented.
"
1999-01-19T22:58:07Z,QCD at High Energies,J. Huston,"  This talk summarizes recent QCD results from HERA, the Tevatron Collider and
Tevatron fixed target experiments.
"
2015-11-21T13:58:49Z,LQCD: Flavor Physics and Spectroscopy,Carleton DeTar,"  I review highlights of recent results in quark-flavor physics and heavy-quark
spectroscopy from lattice QCD, with emphasis on $B$-meson decays and excited
and exotic charmonium states.
"
2019-12-17T14:50:37Z,Flavor physics and CP violation,M. I. Vysotsky,"  Lectures at the 53rd Winter School of Petersburg Nuclear Physics Institute
and European School on High Energy Physics ESHEP2019, Saint-Petersburg, Russia.
"
2011-06-06T12:53:57Z,Current Topics in Heavy Quarkonium Physics,Nora Brambilla,"  I review some recent progress, open puzzles and future opportunities in heavy
quarkonium physics in the framework of effective field theories
"
1997-04-18T03:40:43Z,A Simplified Summary of Supersymmetry,J. F. Gunion,"  I give an overview of the motivations for and theory/phenomenology of
supersymmetry.
"
